sentiment,date_time
-1,22:38:17
-2,22:38:20
-1,22:38:22
0,22:38:24
-1,22:38:26
0,22:38:28
1,22:38:30
0,22:38:32
1,22:38:34
2,22:38:36
3,22:38:38
4,22:38:40
5,22:38:42
4,22:38:44
5,22:38:46
6,22:38:48
7,22:38:50
8,22:38:52
9,22:38:54
8,22:38:56
9,22:38:58
10,22:39:00
11,22:39:02
10,22:39:04
11,22:39:06
12,22:39:08
11,22:39:10
12,22:39:12
13,22:39:14
12,22:39:16
11,22:39:18
12,22:39:20
13,22:39:22
14,22:39:24
15,22:39:26
14,22:39:28
15,22:39:30
16,22:39:32
17,22:39:34
16,22:39:36
17,22:39:38
18,22:39:40
17,22:39:42
16,22:39:44
17,22:39:46
18,22:39:48
19,22:39:50
20,22:39:52
21,22:39:54
20,22:39:57
19,22:39:59
20,22:40:01
19,22:40:03
20,22:40:05
21,22:40:07
20,22:40:09
21,22:40:11
20,22:40:13
21,22:40:15
20,22:40:17
21,22:40:19
22,22:40:21
21,22:40:23
22,22:40:25
23,22:40:27
24,22:40:29
23,22:40:31
22,22:40:33
21,22:40:35
22,22:40:37
23,22:40:39
22,22:40:41
